Game Name,AppID,Owners,Players (2 Weeks),Peak Players,Average Playtime (Lifetime),Average Playtime (2 Weeks),Price,Developer,Publisher,Genres
Dota 2,570,"200,000,000 .. 500,000,000",1489,678595,47391,1489,0,Valve,Valve,
PUBG: BATTLEGROUNDS,578080,"100,000,000 .. 200,000,000",861,714807,23231,861,0,PUBG Corporation,"KRAFTON, Inc.",
Apex Legends,1172470,"50,000,000 .. 100,000,000",380,169665,7810,380,0,Respawn,Electronic Arts,
Team Fortress 2,440,"50,000,000 .. 100,000,000",1385,54559,8624,1385,0,Valve,Valve,
Palworld,1623730,"50,000,000 .. 100,000,000",4,19739,2726,4,2999,Pocketpair,Pocketpair,
New World: Aeternum,1063730,"50,000,000 .. 100,000,000",669,18728,13926,669,7999,Amazon Games,Amazon Games,
Counter-Strike: Global Offensive,730,"50,000,000 .. 100,000,000",658,1424182,31131,658,0,Valve,Valve,
Black Myth: Wukong,2358720,"50,000,000 .. 100,000,000",469,77758,3348,469,5999,Game Science,Game Science,
Call of Duty: Modern Warfare II,1938090,"50,000,000 .. 100,000,000",1183,132563,3390,1183,9999,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,
Grand Theft Auto V,271590,"50,000,000 .. 100,000,000",395,162782,14666,395,2998,Rockstar North,Rockstar Games,
Left 4 Dead 2,550,"50,000,000 .. 100,000,000",134,41607,2365,134,999,Valve,Valve,
Lost Ark,1599340,"50,000,000 .. 100,000,000",30,17942,4277,30,0,Smilegate RPG,Amazon Games,
Unturned,304930,"50,000,000 .. 100,000,000",214,19785,8428,214,0,Smartly Dressed Games,Smartly Dressed Games,
HELLDIVERS 2,553850,"20,000,000 .. 50,000,000",608,23077,4622,608,3999,Arrowhead Game Studios,PlayStation Publishing LLC,
War Thunder,236390,"20,000,000 .. 50,000,000",863,89331,7270,863,0,Gaijin Entertainment,Gaijin Network Ltd,
ELDEN RING,1245620,"20,000,000 .. 50,000,000",593,36565,7100,593,5999,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",
Brawlhalla,291550,"20,000,000 .. 50,000,000",87,10263,2295,87,0,Blue Mammoth Games,Ubisoft,
Wallpaper Engine,431960,"20,000,000 .. 50,000,000",131,124636,3463,131,399,Wallpaper Engine Team,Wallpaper Engine Team,
Baldur's Gate 3,1086940,"20,000,000 .. 50,000,000",343,52893,7025,343,5999,Larian Studios,Larian Studios,
Garry's Mod,4000,"20,000,000 .. 50,000,000",233,23979,12218,233,999,Facepunch Studios,Valve,
Terraria,105600,"20,000,000 .. 50,000,000",820,28517,6673,820,999,Re-Logic,Re-Logic,
Tom Clancy's Rainbow Six Siege,359550,"20,000,000 .. 50,000,000",336,43896,15176,336,1999,Ubisoft Montreal,Ubisoft,
Destiny 2,1085660,"20,000,000 .. 50,000,000",1223,32406,6655,1223,0,Bungie,Bungie,
ARK: Survival Evolved,346110,"20,000,000 .. 50,000,000",26,32611,12456,26,1499,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",
Rust,252490,"20,000,000 .. 50,000,000",2001,127831,18484,2001,3999,Facepunch Studios,Facepunch Studios,
Warframe,230410,"20,000,000 .. 50,000,000",433,60195,11000,433,0,Digital Extremes,Digital Extremes,
Valheim,892970,"20,000,000 .. 50,000,000",373,21785,3330,373,1999,Iron Gate AB,Coffee Stain Publishing,
Cyberpunk 2077,1091500,"20,000,000 .. 50,000,000",897,32458,4922,897,5999,CD PROJEKT RED,CD PROJEKT RED,
PAYDAY 2,218620,"20,000,000 .. 50,000,000",0,23263,3239,0,999,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,
Grand Theft Auto IV: Complete Edition,901583,"20,000,000 .. 50,000,000",0,0,0,0,0,"Rockstar North, Rockstar Toronto",Rockstar Games,
The Forest,242760,"20,000,000 .. 50,000,000",866,13099,1404,866,1999,Endnight Games Ltd,Endnight Games Ltd,
Stardew Valley,413150,"20,000,000 .. 50,000,000",309,93514,5551,309,1499,ConcernedApe,ConcernedApe,
Don't Starve Together,322330,"20,000,000 .. 50,000,000",609,54977,2528,609,1499,Klei Entertainment,Klei Entertainment,
Last Epoch,899770,"20,000,000 .. 50,000,000",31,2619,3829,31,2799,Eleventh Hour Games,Eleventh Hour Games,
Half-Life 2: Lost Coast,340,"20,000,000 .. 50,000,000",0,12,0,0,1999,Valve,Valve,
NARAKA: BLADEPOINT,1203220,"20,000,000 .. 50,000,000",466,226680,7621,466,0,24 Entertainment,NetEase Games Global,
Dead by Daylight,381210,"20,000,000 .. 50,000,000",663,42447,11408,663,1999,Behaviour Interactive Inc.,Behaviour Interactive Inc.,
Among Us,945360,"20,000,000 .. 50,000,000",113,4083,1339,113,499,Innersloth,Innersloth,
Path of Exile,238960,"20,000,000 .. 50,000,000",374,15579,9272,374,0,Grinding Gear Games,Grinding Gear Games,
Fall Guys: Ultimate Knockout,1097150,"20,000,000 .. 50,000,000",108,921,1494,108,0,Mediatonic,Ravenscourt,
VRChat,438100,"10,000,000 .. 20,000,000",2677,40155,5930,2677,0,VRChat Inc.,VRChat Inc.,
The Witcher 3: Wild Hunt,292030,"10,000,000 .. 20,000,000",924,17761,3457,924,3999,CD PROJEKT RED,CD PROJEKT RED,
Warface,291480,"10,000,000 .. 20,000,000",0,482,467,0,0,MY.GAMES,MY.GAMES,
Borderlands 2,49520,"10,000,000 .. 20,000,000",90,2066,2307,90,1999,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",
Paladins,444090,"10,000,000 .. 20,000,000",101,3144,3641,101,0,Evil Mojo Games,Hi-Rez Studios,
Euro Truck Simulator 2,227300,"10,000,000 .. 20,000,000",302,33725,7690,302,1999,SCS Software,SCS Software,
World of Warships,552990,"10,000,000 .. 20,000,000",525,10544,2367,525,0,Wargaming Group Limited,Wargaming Group Limited,
Counter-Strike,10,"10,000,000 .. 20,000,000",302,13889,15818,302,999,Valve,Valve,
Half-Life 2: Deathmatch,320,"10,000,000 .. 20,000,000",24,697,394,24,1999,Valve,Valve,
Phasmophobia,739630,"10,000,000 .. 20,000,000",236,16392,2518,236,1999,Kinetic Games,Kinetic Games,
